component_id,lot_id,defect_type,leakage_0h,leakage_24h,leakage_96h,leakage_168h
C0001,LOT-001,mild_drift,9.767192638558786,9.955559941842834,11.633357794711506,13.12769070557994
C0002,LOT-001,healthy,10.89765752337486,11.17620189638867,10.693267809845885,10.85704755421855
C0003,LOT-001,healthy,10.519257311687,10.527528955706174,10.149216948192137,10.565107653591804
C0004,LOT-001,strong_drift,9.113892907924164,9.965816064650353,13.312026939162422,16.18027236049968
C0005,LOT-001,healthy,9.972243790531397,10.068533129284809,9.915840187686086,10.563669185767662
C0006,LOT-001,healthy,10.061382895994676,10.253650695971741,10.619897878150024,10.115339743293715
C0007,LOT-001,healthy,9.895493134707019,9.821209527566248,9.413928372346945,11.034408925642069
C0008,LOT-001,healthy,9.481369867965716,9.085242378964283,9.343052032723568,8.893052410803229
C0009,LOT-001,healthy,9.896415979997267,10.030560871941443,10.460043452855203,9.59047878259923
C0010,LOT-001,healthy,8.887588212951936,9.145596195802858,8.61011716677895,8.880418430237034
C0011,LOT-001,healthy,9.878761657985907,10.126595432222548,10.05571038665344,9.52197603844765
C0012,LOT-001,latent_defect,9.680871953904854,10.646433618961261,13.527259462117707,22.134193950438632
C0013,LOT-001,healthy,10.484395056775584,10.652439768743095,11.219818667195295,11.115279424337626
C0014,LOT-001,strong_drift,10.898200116726654,11.897376093602542,14.647928143370768,17.279886244090783
C0015,LOT-001,healthy,10.432188566137665,10.648088162405326,10.031918087868144,11.263434011866899
C0016,LOT-001,healthy,9.56593324846059,9.560447208066476,10.063300327279624,9.108725318471883
C0017,LOT-001,healthy,9.674673388512177,9.66594530626279,9.960495144389983,9.6270131283175
C0018,LOT-001,healthy,10.473482854383715,10.55265496934185,11.472656096064194,11.135570712641897
C0019,LOT-001,mild_drift,9.869080262055709,10.204544635602966,11.47613750854477,11.092560586058378
C0020,LOT-001,healthy,10.862491585611705,11.025409351673668,10.959875590927759,10.796916362567963
C0021,LOT-001,healthy,9.82734580677164,10.261057911171811,9.762672905513156,10.163113002343382
C0022,LOT-001,mild_drift,10.099052596223487,10.66156062893661,12.124347223108805,12.86540553715633
C0023,LOT-001,healthy,10.252556127217105,10.336024317278666,9.983015903440313,10.601865536709209
C0024,LOT-001,healthy,10.706807812225497,10.904449773975207,11.095912611166186,12.098438389721483
C0025,LOT-001,healthy,10.009544090718645,10.392811875049688,10.392014039359152,10.824293507279647
C0026,LOT-001,healthy,8.90642200661664,8.93226467430888,8.839174593969634,8.424924195934969
C0027,LOT-001,healthy,9.345368415209178,9.542731894450117,9.661416089285202,9.408196840183159
C0028,LOT-001,healthy,9.495194128654907,9.579173328849734,9.559182441574528,9.119909834785526
C0029,LOT-001,healthy,9.514763886757407,9.606752719525424,9.578833921052592,10.531843802031645
C0030,LOT-001,strong_drift,9.7586168563001,11.388813753527494,16.930039177188526,21.30684244474931
C0031,LOT-001,strong_drift,10.152671092977693,11.159500273490188,14.365459412582226,17.91265510949063
C0032,LOT-001,healthy,8.67934714753433,9.097361890153085,8.699332894487293,9.499157784305783
C0033,LOT-001,healthy,11.841329129054959,11.641674035273166,11.28990216848034,11.442760514796559
C0034,LOT-001,healthy,10.716583880981684,10.625413200601699,10.076835850326304,10.264194554282392
C0035,LOT-001,healthy,8.768200596943826,8.724726345600839,9.041795228319042,9.363572208686511
C0036,LOT-001,healthy,9.19824046737739,9.109793265818528,9.533120717567796,9.960929176345275
C0037,LOT-001,healthy,9.251198531114719,9.122922873931337,9.0132290569832,9.699527181476531
C0038,LOT-001,strong_drift,10.212290867429555,11.881516026404114,15.692971226111137,20.166562741526207
C0039,LOT-001,healthy,9.537728045106348,9.938972640969755,10.219104146207831,10.403129292072672
C0040,LOT-001,latent_defect,10.31457365878611,11.44954908737514,14.356323994960022,24.69163975557664
C0041,LOT-001,healthy,10.564906164580796,10.976047975834495,10.82280136213389,10.697136301195977
C0042,LOT-001,healthy,11.046995331641169,11.152314872847034,11.260659806166428,12.219529300032713
C0043,LOT-001,healthy,10.156011562901172,10.258234031924907,10.086422362348198,10.324990825177652
C0044,LOT-001,mild_drift,10.18697075132943,11.02457870569567,12.420171069810177,14.609827770003918
C0045,LOT-001,mild_drift,10.469198180779328,11.101838198034633,12.535390901524073,14.125660057778857
C0046,LOT-001,healthy,9.868325638199146,10.149645595836468,9.381516200372442,9.407249142826553
C0047,LOT-001,healthy,10.90627336193834,10.65202142212442,10.503880194246534,10.943040240711449
C0048,LOT-001,healthy,10.300970529742978,10.50017836311697,11.035551060915015,10.409574606875236
C0049,LOT-001,strong_drift,10.055211611215295,11.770778279331024,16.74726320127875,21.455633852813822
C0050,LOT-001,healthy,9.689907936665222,9.702796848106562,10.602848544166667,9.996796310459231
C0051,LOT-002,mild_drift,10.029647818897104,10.57435914926406,12.307292226384456,13.69714215487889
C0052,LOT-002,mild_drift,10.649996157274565,10.653757302586799,11.710014469258558,13.302345557805786
C0053,LOT-002,strong_drift,10.199222185042984,11.102098182601294,14.386521975634887,16.884170117280313
C0054,LOT-002,mild_drift,9.94926279171301,10.543768030964426,12.247536052812547,14.141718117787034
C0055,LOT-002,latent_defect,9.774447661064261,11.075654797894543,12.976847112094807,23.742246005484983
C0056,LOT-002,healthy,10.300684241757807,10.245098382531548,10.4002802706966,10.000669645421626
C0057,LOT-002,healthy,9.860872679470685,9.696385373787008,9.608709251914105,9.616854948225862
C0058,LOT-002,healthy,9.902877172361151,10.24643445545702,10.704824470998142,10.11932577385958
C0059,LOT-002,mild_drift,9.885629509717527,10.067066607255024,11.726983792798844,13.354286999350686
C0060,LOT-002,healthy,9.475584504129708,9.829458241559635,9.413838645472586,9.119371397762604
C0061,LOT-002,healthy,9.520025733441859,9.703807563893372,10.088040692452354,10.431559446418273
C0062,LOT-002,healthy,10.610478277176592,10.403966012530727,10.299750135342462,10.753322333615605
C0063,LOT-002,healthy,9.215990264249466,9.343993240768024,9.089562498804067,8.956133410664748
C0064,LOT-002,healthy,8.658219296608486,8.694582484539302,8.56723441167514,8.173882636652607
C0065,LOT-002,healthy,9.567068072588302,9.48194732479435,9.971143821467809,9.302816684743496
C0066,LOT-002,healthy,9.97276505065977,10.089352583163885,10.281250337252901,10.947239877329267
C0067,LOT-002,healthy,9.204325615332845,9.371885887041895,9.455530828438363,9.946981619654068
C0068,LOT-002,healthy,9.89562294131103,9.845449340166267,9.768134287529763,8.981247140134492
C0069,LOT-002,healthy,10.609122600382683,11.046922025952588,10.464970651376095,10.50985719570741
C0070,LOT-002,mild_drift,8.892106726226434,9.443623154916905,10.268308654587866,11.040018255920097
C0071,LOT-002,latent_defect,10.572253823519814,11.300896877952997,13.967532439767437,21.086882968977797
C0072,LOT-002,strong_drift,9.903706253565788,11.009107685429882,15.219275614929664,19.52975610216398
C0073,LOT-002,mild_drift,9.096015889831632,9.401412453012723,10.44891725643411,11.654784580622422
C0074,LOT-002,healthy,9.613638021333596,9.891330399175287,9.961748870738054,10.19876904107075
C0075,LOT-002,mild_drift,10.49549677249063,10.89032646579071,11.453382346230274,12.587007640813658
C0076,LOT-002,healthy,10.587707311291108,10.500825349650707,10.638191717525165,10.280644550322723
C0077,LOT-002,healthy,10.48912737046137,10.585318651818293,10.859139698245142,10.33045882932508
C0078,LOT-002,healthy,9.919066902259168,9.651306168016767,9.684706053516864,9.6336417764823
C0079,LOT-002,healthy,10.464935489241883,10.473534174259305,10.236494959022389,9.927836262473463
C0080,LOT-002,healthy,10.512992806087087,10.746832787938182,10.942055226884595,10.813411461758012
C0081,LOT-002,healthy,9.728632723727479,9.65082132146703,9.66140599473913,9.805393728297977
C0082,LOT-002,healthy,9.459352883937084,9.830950588937121,9.383227300150189,10.421862729610805
C0083,LOT-002,healthy,10.034175934877085,10.056047799719684,8.789952601245705,9.628206059328118
C0084,LOT-002,healthy,10.100766317418486,9.796554161294546,10.043102092963254,8.988233912713351
C0085,LOT-002,healthy,10.11024795185887,10.178592522974167,9.856431181328892,9.543174388012519
C0086,LOT-002,healthy,9.969376290009077,9.817334640258343,9.454166717994092,9.334452215539114
C0087,LOT-002,mild_drift,10.210814526666743,10.673626887290332,12.402253093113595,13.653296776286254
C0088,LOT-002,latent_defect,9.1736224528758,10.004689917170284,12.047329670901298,16.882656163520508
C0089,LOT-002,mild_drift,10.409738358551065,10.712619899285817,13.120986806700932,14.85404553760374
C0090,LOT-002,healthy,9.410980509740892,9.569029126246528,9.434431828809375,9.917668388053778
C0091,LOT-002,mild_drift,11.134275777224827,11.942248570758265,12.74167446927034,14.031237041665324
C0092,LOT-002,healthy,9.77260606372108,9.285865769167945,9.821983041274681,10.70022694205245
C0093,LOT-002,healthy,9.037073039302864,9.236345811071505,9.255978349409705,10.314743130208285
C0094,LOT-002,healthy,10.261002057320862,10.166330925277713,9.885507443152967,10.427802383797594
C0095,LOT-002,healthy,10.156112959403432,10.055057818500197,10.286621044813796,10.858253142570314
C0096,LOT-002,strong_drift,9.785156609273624,10.434019723583454,13.722076554537962,15.462484366881625
